Entry requirements of this job:,Job description:,Jobs related to this code:,NS-SEC categorisations:,Tasks required by this job include:,This unit group is part of:,jobId,jobTitle
"There are no formal academic entry requirements, although some employers may expect entrants to possess GCSEs/S grades. Candidates are expected to pass a medical examination and have good eyesight. Training takes place at nautical college and lasts between 11-13 weeks.","Marine and waterways transport operatives supervise and carry out a variety of deck duties and operate and maintain engines, boilers and mechanical equipment on board ships, boats and other marine vessels.","Engine room attendant (shipping)Engineer, nos (boat, barge)FerrymanMerchant seamanSeaman (shipping)","The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","ensures that necessary fuel supplies are on board and inspects engine, boilers and other mechanisms for correct functioning;removes and repairs or replaces damaged or worn parts of plant and machinery and ensures that engine and plant machinery are well lubricated;stows cargo, assists passengers to embark and disembark, watches for hazards and moors or casts off mooring ropes as required;steers ship, under the supervision of a duty officer, checks navigational aids and keeps bridge, wheel and chartroom clean and tidy;performs other deck duties, including servicing and maintaining deck gear and rigging, splicing wire and fibre ropes, greasing winches and derricks, opening up and battening down hatches, securing gangways and ladders and lowering and raising lifeboats.","Minor Group 823: OTHER DRIVERS AND TRANSPORT OPERATIVESSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8232, MARINE AND WATERWAYS TRANSPORT OPERATIVES
No academic qualifications are required.,"Market and street traders and assistants sell goods (other than refreshments) from stalls, barrows and other portable containers in streets and market places.",Market assistantMarket traderOwner (market stall)Stall holderStreet trader,"The simplified NS-SEC analytic class for this code is 4The simplified NS-SEC operational category for this code is 9.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.",displays products on stall or barrow;calls out or otherwise attracts attention to goods on offer;sells goods at fixed price or by bargaining with customer;accepts payment and may wrap goods;cleans up site on completion of each day�s trading.,Minor Group 712: SALES RELATED OCCUPATIONSSub-Major Group 71: SALES OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7124, MARKET AND STREET TRADERS AND ASSISTANTS
There are no formal academic entry requirements. Training is typically provided on-the-job. NVQs/ SVQs in Market Research (Interviewing) are available at Level 2.,"Market research interviewers conduct interviews to collect information on the opinions and preferences of consumers, businesses, the electorate and other selected groups.",Interviewer (market research)Market researcher (interviewing)Telephone interviewerTelephone researcherTraffic enumerator,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.6To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","approaches members of the public, individuals, households and organisations to arrange and conduct face-to-face interviews, telephone interviews, focus groups, panel interviews etc.;records progress of interviews by noting answers, completing questionnaires, making audio or visual recordings or inputting responses into a computer;collects questionnaires, diaries, and other research materials left with interviewees and conducts follow-up interviews;collates and reviews information collected and compiles reports to pass back to the organisation/individual commissioning the market research.",Minor Group 721: CUSTOMER SERVICE OCCUPATIONSSub-Major Group 72: CUSTOMER SERVICE OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7215, MARKET RESEARCH INTERVIEWERS
"Entry is generally via career progression from related occupations (e.g. Marketing Manager, Sales Manager). Entrants to the professional qualifications of the Chartered Institute of Marketing require GCSEs/S grades, A levels/H grades, a BTEC/SQA award, a degree or equivalent qualification and/or relevant experience.","Marketing and sales directors plan, organise and direct market research and formulate and implement an organisation�s marketing and sales policies.",Marketing directorSales director,"The simplified NS-SEC analytic class for this code is 1.1The simplified NS-SEC operational category for this code is 2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","liaises with other senior staff to determine the range of goods or services to be sold;discusses employer�s or clients� requirements, plans and monitors surveys and analyses of customers� reactions to products;examines and analyses sales figures, advises on and monitors marketing campaigns and promotional activities;controls the recruitment and training of staff;produces and/or assesses reports and recommendations concerning marketing and sales strategies.","Minor Group 113: FUNCTIONAL MANAGERS AND DIRECTORSSub-Major Group 11: CORPORATE MANAGERS AND DIRECTORSMajor Group 1: MANAGERS, DIRECTORS AND SENIOR OFFICIALS",1132, MARKETING AND SALES DIRECTORS
"There are no formal academic requirements, although many entrants possess a BTEC/SQA award, A levels/H grades, a degree or equivalent qualification. Training is typically in-house, supplemented by short courses or professional qualifications provided by the Market Research Society. NVQs/SVQs in Marketing Research are available at Levels 3 and 4.","Marketing associate professionals assist in the development and implementation of projects which aim to elicit the preferences and requirements of consumers, businesses and other specified target groups so that suppliers may meet these needs.",Business development executiveFundraiserMarket research analystMarketing consultantMarketing executive,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","discusses business methods, products or services and targets customer group with employer or client in order to identify marketing requirements;establishes an appropriate quantitative and qualitative market research methodology and prepares proposals outlining programmes of work and details of costs;collates and interprets findings of market research and presents results to clients;discusses possible changes that need to be made in terms of design, price, packaging, promotion etc. in light of market research with appropriate departments;briefs advertising team on client requirements, monitors the progress of advertising campaigns and liaises with client on potential modifications.","Minor Group 354: SALES, MARKETING AND RELATED ASSOCIATE PROFESSIONALSSub-Major Group 35: BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3543, MARKETING ASSOCIATE PROFESSIONALS
"Mechanical engineers usually possess an accredited university degree. After qualifying, periods of appropriate training and experience are required before membership of a chartered engineering institution is attainable. Incorporated engineers possess an accredited university degree, BTEC/SQA award or an apprenticeship leading to an NVQ/SVQ at Level 4, followed by periods of training and relevant experience.","Mechanical engineers undertake research and design, direct the manufacture and manage the operation and maintenance of engines, machines, aircraft, vehicle and ships� structures, building services and other mechanical items.",Aeronautical engineer (professional)Aerospace engineerAutomotive engineer (professional)Marine engineer (professional)Mechanical engineer (professional),"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","undertakes research and advises on energy use, materials handling, thermodynamic processes, fluid mechanics, vehicles and environmental controls;determines materials, equipment, piping, capacities, layout of plant or system and specification for manufacture;designs mechanical equipment, such as steam, internal combustion and other non-electrical motors for railway locomotives, road vehicles, aeroplanes and other machinery;ensures that equipment, operation and maintenance comply with design specifications and safety standards;organises and establishes control systems to monitor operational efficiency and performance of materials and systems.","Minor Group 212: ENGINEERING PROFESSIONALSSub-Major Group 21: SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY�PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2122, MECHANICAL ENGINEERS
"Entrants usually possess GCSEs/S grades, BTEC/ SQA awards, an Intermediate GNVQ/GSVQ Level II or A levels/H grades. Training may last up to five years depending upon the field and method of study. Professional qualifications and NVQs/SVQs at Level 3 are available in some areas.","Medical and dental technicians operate, calibrate and maintain cardiographic and encephalographic testing equipment, assist in the conduct of post mortems, give simple dental treatments, fit artificial limbs and hearing aids, and undertake a wide range of related medical and dental tasks.",CardiographerDental hygienistDental technicianMedical technical officerOrthopaedic technician,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","operates equipment to diagnose and record or treat hearing, heart, brain, lung and kidney ailmentsundertakes scaling and polishing of teeth, applies medicaments, carries out post-operative hygiene work and advises on preventative dentistry;makes dentures, crowns, bridges, orthodontic and other dental appliances according to individual patient requirementsmeasures patients for, and fits them with, surgical appliances, hearing aids and artificial limbsperforms related medical tasks including treating hair and scalp disorders and conducting tests on glaucoma patientstakes samples for clinical examination",Minor Group 321: HEALTH ASSOCIATE PROFESSIONALSSub-Major Group 32: HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,3218, MEDICAL AND DENTAL TECHNICIANS
"Entrants require a university degree from a medical school recognised by the General Medical Council followed by a year of pre-registration training as a house officer. Some medical schools operate graduate entry schemes. Once the pre-registration period as house officer is completed, doctors undertake up to two years postgraduate training in a chosen speciality.","Medical practitioners diagnose mental and physical injuries, disorders and diseases, prescribe and give treatment, recommend preventative action, and conduct medical education and research activities. They may specialise in particular areas of modern medicine or work in general practice and, where necessary, refer the patient to a specialist.",AnaesthetistConsultant (Hospital Service)DoctorGeneral practitionerMedical practitionerPaediatricianPsychiatristRadiologistSurgeon,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines patient, arranges for any necessary x-rays or other tests and interprets results;diagnoses condition and prescribes and/or administers appropriate treatment/surgery;administers medical tests and inoculations against communicable diseases;supervises patient�s progress and advises on diet, exercise and other preventative action;refers patient to specialist where necessary and liaises with specialist;prepares and delivers lectures, undertakes research, and conducts and participates in clinical trials;supervises the implementation of care and treatment plans by other healthcare providers.",Minor Group 221: HEALTH PROFESSIONALSSub-Major Group 22: HEALTH PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2211, MEDICAL PRACTITIONERS
Entrants for medical radiography possess a degree in radiography recognised by the Health Professions Council (HPC). Those with a relevant first degree may qualify by completing a pre-registration postgraduate diploma or a Masters qualification. Post-qualifying courses are available for specialist areas.,"Medical (diagnostic) radiographers operate x-ray machines, ultrasound, magnetic resonance imaging and other imaging devices for diagnostic and therapeutic purposes, assist in the diagnosis of injuries and diseases and are involved in intervention procedures such as the removal of kidney stones. They operate under the supervision of senior staff. Therapeutic radiographers specialise in the planning and administration of radiotherapy treatment for patients with cancer.",Medical radiographerRadiographerSonographerTherapeutic radiographerVascular technologist,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","uses a range of imaging devices for diagnostic and therapeutic purposes;assesses patients and interprets clinical requirements to determine appropriate radiographic treatments;verifies identity of patient and ensures that necessary preparations have been made for the examination/treatment;decides length and intensity of exposure or strength of dosage of isotope;positions patient and operates x-ray, scanning or fluoroscopic equipment;maintains records of all radiographic/therapeutic work undertaken;plans course of treatment with clinical oncologists and physicists;calculates radiation dosage and maps volume to be treated;explains treatment to patient and management of any side effects;carries out post-treatment reviews and follow-ups.",Minor Group 221: HEALTH PROFESSIONALSSub-Major Group 22: HEALTH PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2217, MEDICAL RADIOGRAPHERS
"Entrants require GCSEs/S grades or an Intermediate GNVQ/GSVQ Level II. To qualify as a medical secretary, entrants take a one-year full-time or two-year part-time diploma in medical secretarial studies. NVQs/SVQs in Administration are available at Levels 2, 3 and 4.","Medical secretaries deal with correspondence, make appointments and handle patients� queries; file and maintain medical and other records; transcribe notes and dictation; and perform other clerical tasks in hospitals/surgeries and other medical establishments.",Clinic coordinatorClinic administratorMedical administratorMedical secretarySecretary (medical practice),"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","sorts and files correspondence and maintains diary of the person/s for whom he/she works;transcribes dictation into required format;maintains patients� records and arranges appointments;answers enquiries and refers patient to appropriate experts;organises and attends meetings and takes minutes of proceedings;books resources such as rooms and refreshments, and orders stationery and other supplies as appropriate.",Minor Group 421: SECRETARIAL AND RELATED OCCUPATIONSSub-Major Group 42: SECRETARIAL AND RELATED OCCUPATIONSMajor Group 4: ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4211, MEDICAL SECRETARIES
"Entrants typically possess a professional qualification from the British Design Society, or an approved vocational qualification. Candidates usually require GCSEs/S grades. Degrees and apprenticeships are available, as well as NVQs/SVQs in Visual Merchandising at Levels 1 and 2.","Merchandisers and window dressers replenish stocks of goods in stores, advise retailers on the optimum display of merchandise and create displays of merchandise in shop windows.",MerchandiserSales merchandiserVisual merchandising managerWindow dresser,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","monitors stock movements, considers customer requirements and assists customers in completing orders;supplies information about the product to the retailer and sales staff and deals with customer enquiries;consults with advertising and sales staff and advises retailers on the optimal display of a product and of any promotions;implements plans from display designers or display managers or develops ideas and plans for merchandise display or window dressing;prepares area for new display, constructs or assembles displays from a variety of materials, and dismantles existing displays and returns merchandise to relevant departments;provides feedback about displays to senior managers.",Minor Group 712: SALES RELATED OCCUPATIONSSub-Major Group 71: SALES OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7125, MERCHANDISERS AND WINDOW DRESSERS
"There are no formal academic requirements although some employers may require GCSEs/S grades. Engineering apprenticeships, BTEC and City and Guilds qualifications are available together with on-the-job training. NVQs/ SVQs at Level 2 are available.","Job holders in this unit group operate machines to drill, bore, grind, cut, mill or otherwise shape metal workpieces.",CNC machinistCNC programmerCentre lathe turnerMiller (metal trades)Tool setterTurner,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings and specifications to determine appropriate method, sequence of operations and machine setting;selects and fixes work-holding devices and appropriate cutting, shaping, grinding and/or forming tools;sets machine controls for rotation speeds, depth of cut and stroke, and adjusts machine table, stops and guides;operates automatic or manual controls to feed tool to workpiece or vice versa and checks accuracy of machining;repositions workpiece, changes tools and resets machine as necessary during production run;instructs operators on the safe and correct method of operation of the machine.","Minor Group 522: METAL MACHINING, FITTING AND INSTRUMENT MAKING TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5221, METAL MACHINING SETTERS AND SETTER-OPERATORS
"There are no formal academic entry requirements. Training is typically provided on-the-job. NVQs/ SVQs in Steel Making, Steel Refining, Steel Casting and Metal Forging are available at Levels 2 and 3.","Metal making and treating process operatives operate furnaces, ovens and other heating vessels, drawing, rolling, extruding, galvanising, forging and other metal processing equipment to smelt, shape and treat metal and metal products.",Degreaser (metal trades)Foreman (metal refining)Furnaceman (metal trades)Process worker (nickel mfr)Wire drawer,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","charges furnace, operates controls to regulate furnace temperature, and adds oxidising, alloying and fluxing agents as required;withdraws samples of molten metal for analysis, taps slag from surface of molten metal and directs flow of molten metal into casts;sets rolling speed, tension and space between rolls, guides the metal to and from rollers, and monitors the rolling process to detect irregularities, and ensure that the gauge and finish match required specifications;operates equipment to remove dirt, scale and other surface impurities by immersion in chemical solution;heats metal or metal articles in furnace, allows to cool for a specified time or quenches in brine, oil or water to harden, reduces brittleness and restores ductility;operates piercing, extruding, pressing and other metal processing equipment to shape and treat metal or metal articles.","Minor Group 811: PROCESS OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8117, METAL MAKING AND TREATING PROCESS OPERATIVES
"Entrants typically possess GCSEs/S grades. Training is usually via apprenticeship including practical experience and technical training. Apprenticeships in Engineering Materials Processing, Engineering Assembly and Engineering Construction are available.","Metal plate workers and riveters mark off, drill, shape, position, rivet and seal metal plates and girders to form structures and frameworks.",Boiler makerMetal plate workerPlaterPlater-welder,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings and specifications and uses rules, scribes and punches to mark out metal plate with guidelines and reference points;cuts metal plate to markings using hand or machine tools;uses machine tools to bend, curve, punch, drill and straighten metal plate as required;uses hydraulic jacks to position and align metal platework or frame for welding and bolting;selects suitable rivets and rivets together metal plates and girders;seals seams with caulking compound, smoothes welds, fixes metal doors, metal collars, portholes, tank and hatch covers and performs other metal plate finishing tasks using a variety of hand and power tools.","Minor Group 521: METAL FORMING, WELDING AND RELATED TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5214," METAL PLATE WORKERS, AND RIVETERS"
There are no formal academic entry requirements. Training is�typically received on-the-job. NVQs/SVQs in Engineering Machining are available.,"Metal working machine operatives operate machines to cut, shape, abrade and otherwise machine metal, use hand and power tools to remove surplus metal and rough surfaces from castings, forgings or other metal parts, and clean, smooth and polish metal workpieces.","Engineer, nosMachinist (metal trades)Metal polisherProcess worker (metal trades)","The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","secures workpiece in drilling, boring, milling, planing, grinding, lapping, honing, electrochemical, or other shaping machines, or loads metal stock on to press;sets controls, starts machine and operates controls to feed tool to workpiece or vice versa and repositions workpiece during machining as required;withdraws workpiece and examines accuracy using measuring instruments;operates burning, chipping and grinding equipment to remove defects from metal parts, and files, chisels, burns and saws off surplus metal;smoothes rough surfaces with hand tools, abrasive belts and wheels, compressed air, jets of vapour, or blasting with shot, grit, sand or other abrasive material;selects and secures polishing head to machine tool, prepares head with emery, grease or other substance, sets speed and angle of polishing head, and operates controls to feed polishing head to workpiece or vice versa.","Minor Group 812: PLANT AND MACHINE OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8125, METAL WORKING MACHINE OPERATIVES
"Entrants usually possess GCSEs/S grades, a GNVQ/ GSVQ or a BTEC/SQA award. Apprenticeships in Engineering Maintenance at NVQ/SVQ Level 3 are available.","Metal working production and maintenance fitters erect, install and repair electrical and mechanical plant and industrial machinery, fit and assemble parts and sub-assemblies in the manufacture of metal products and test and adjust new motor vehicles and engines.",Agricultural engineerBench fitterEngineering machinistFabricatorInstallation engineerMaintenance fitterMechanical engineer,"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings and specifications to determine appropriate methods and sequence of operations;fits and assembles parts and/or metal sub-assemblies to fine tolerances to make marine engines, prototype metal products, agricultural machinery and machine tools;fits and assembles, other than to fine tolerances, prepared parts and sub-assemblies to make motor vehicles, printing and agricultural machinery, orthopaedic appliances and other metal goods;examines operation of, and makes adjustments to, internal combustion engines and motor vehicles;erects, installs, repairs and services plant and industrial machinery, including railway stock, textile machines, coin operated machines, locks, sewing machines, bicycles and gas and oil appliances.","Minor Group 522: METAL MACHINING, FITTING AND INSTRUMENT MAKING TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5223, METAL WORKING PRODUCTION AND MAINTENANCE FITTERS
A degree in midwifery is essential. Registered nurses can do a 12-18 month shortened course but graduates from other disciplines must undertake the full three or four-year degree programme. Entry to midwifery training without a degree or HND is also possible. Applicants must have a minimum of five GCSEs (or equivalent) and at least two A-levels (or equivalent) for degree programmes. There is a lower age limit of 17 years 6 months to enter training.,"Midwives deliver, or assist in the delivery of babies, provide antenatal and postnatal care and advise parents on baby care. They work with other healthcare professionals, and advise on and teach midwifery practice.",MidwifeMidwifery sister,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","monitors condition and progress of patient and baby throughout pregnancy;delivers babies in normal births and assists doctors with difficult deliveries;monitors recovery of mother in postnatal period and supervises the nursing of premature and other babies requiring special attention;advises on baby care, exercise, diet and family planning issues;supervises more junior staff and directs the work of the midwifery unit;plans and manages midwifery care services;delivers lectures and other forms of training in midwifery practice.",Minor Group 223: NURSING AND MIDWIFERY PROFESSIONALSSub-Major Group 22: HEALTH PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2232, MIDWIVES
No academic qualifications are required. On-the-job training is provided. The appropriate current driving licence will be required for driving on public highways.,"Job holders in this unit group supervise and undertake the operation of machines to transport, excavate, grade, level, and compact sand, earth, gravel and similar materials, drive piles into the ground and lay surfaces of asphalt, concrete and chippings, and operate other mobile machines not elsewhere classified in MINOR GROUP 822: Mobile Machine Drivers and Operatives.",Digger driverDredgerExcavator driverJCB driverPlant operatorRig operator,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","fixes any necessary extensions onto machine and loads machine with asphalt, concrete, bitumen, tar, stone chippings or any other required materials;manipulates levers, pedals and switches to manoeuvre vehicle, regulate angle and height of blades, buckets and hammers and starts conveyor, suction or water spraying system;watches operation and removes any likely obstacle or obstructions;directs refilling of machine hopper and repeats operations as necessary;cleans, oils and greases machine and carries out minor repairs.","Minor Group 822: MOBILE MACHINE DRIVERS AND OPERATIVESSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8229, MOBILE MACHINE DRIVERS AND OPERATIVES N.E.C.
Entrants typically possess GCSEs/S grades or have relevant practical experience. Training is by apprenticeship including practical experience and technical training. Apprenticeships in Engineering Material Processing at NVQ/SVQ Level 3 are available.,"Moulders, core makers and die casters make sand, loam and plaster moulds and cores for casting metal and pour or inject molten metal into dies by hand or machine.",Core Maker (metal trades)Die CasterMoulder (metal trades)Pipe Maker (foundry),"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","positions moulding frame over pattern, fills it with sand, loam, or plaster and compacts by hand or machine;transfers mould unit to oven for baking or hardens by injecting carbon dioxide;separates mould from pattern and repairs damage or imperfections in mould surfaces;applies refractory bonding solution to moulds and dies to prevent molten metal fusing with sand;fits cores in mould to form hollow parts in casting;prepares casting pit with vents to allow the escape of gases, scoops molten metal from furnace using ladle and pours it into die or die casting machine.","Minor Group 521: METAL FORMING, WELDING AND RELATED TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5212," MOULDERS, CORE MAKERS AND DIE CASTERS"
There are no formal academic entry requirements although many possess a degree and/or diploma. Entry to a degree or graduate diploma course requires A levels/H grades. Entrants to the performers� diploma course generally possess GCSEs/S grades and Associated Board Graded Examination passes in their chosen instrument(s) and will be required to audition. Apprenticeships at NVQ Levels 2 and 3 are available in some areas.,"Musicians write, arrange, orchestrate, conduct and perform musical compositions.",ComposerMusicianOrganistPianistSong writerViolinist,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.",conceives and writes original music;tunes instrument and studies and rehearses score;plays instrument as a soloist or as a member of a group or orchestra;scores music for different combinations of voices and instruments to produce desired effect;auditions and selects performers and rehearses and conducts them in the performance of the composition.,"Minor Group 341: ARTISTIC, LITERARY AND MEDIA OCCUPATIONSSub-Major Group 34: CULTURE, MEDIA AND SPORTS OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3415, MUSICIANS
"Entry is possible to junior grades within this group with GCSEs/S grades, and/or relevant practical experience; higher grades require A levels/H grades or equivalent, although many entrants are graduates. NVQs/SVQs, apprenticeships and professional qualifications are available for certain areas of work.","Job holders in this unit group undertake a variety of administrative and clerical duties in national government departments, and in local offices of national government departments.",Administrative assistant (courts of justice)Administrative officer (government)Civil servant (EO)Clerk (government)Revenue officer (government),"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","assists senior government officers with policy work, external liaison or general administrative work;undertakes administrative duties specific to the operation of HM Revenue and Customs offices, Job Centres, Benefits Agency offices and other local offices of national government;maintains and updates correspondence, documents, data and other records for storage in files or on computer;classifies, sorts and files publications, correspondence etc. in offices and libraries;responds to telephone enquiries and other forms of correspondence;performs miscellaneous clerical tasks such as proof reading printed material, drafting letters, taking minutes etc.",Minor Group 411: ADMINISTRATIVE OCCUPATIONS: GOVERNMENT AND RELATED ORGANISATIONSSub-Major Group 41: ADMINISTRATIVE OCCUPATIONSMajor Group 4: ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4112, NATIONAL GOVERNMENT ADMINISTRATIVE OCCUPATIONS
Entry is most common with a degree or equivalent qualification but is possible with other academic qualifications and/or relevant experience. On-the-job training and/or support for postgraduate study may be provided. Professional qualifications are available in some areas of activity.,Jobholders in this unit group perform a variety of scientific research and related activities not elsewhere classified in MINOR GROUP 211: Natural and Social Science Professionals.,Operational research scientistResearch associate (medical)Research fellow (university)Researcher (university)Scientific officerScientistSports scientistUniversity researcher,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","plans, directs and undertakes research into natural phenomena;provides technical advisory and consulting services;designs tests and experiments to address research objective and find solutions;applies models and techniques to medical, industrial, agricultural, military and similar applications;analyses results and writes up results of tests and experiments undertaken;presents results of scientific research to sponsors, addresses conferences and publishes articles outlining the methodology and results of research undertaken;designs and develops an appropriate research methodology in order to address the research objective;compiles and analyses quantitative and qualitative data, prepares reports and presents results to summarise main findings and conclusions;advises government, private organisations and special interest groups on policy issues;writes journal articles, books, and addresses conferences, seminars and the media to reveal research findings.","Minor Group 211: NATURAL AND SOCIAL SCIENCE PROFESSIONALSSub-Major Group 21: SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY�PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2119, NATURAL AND SOCIAL SCIENCE PROFESSIONALS N.E.C.
For most positions entry does not depend upon academic qualifications. Entrants generally have to pass a selection interview and physical and medical examinations. Entry to certain trades requires GCSEs/S grades or equivalent qualifications.,"Those holding jobs in this unit group are full-time members of the armed forces of the UK, the Commonwealth and other foreign countries and perform military duties for which there is no civilian equivalent.",AircraftmanAircraft technician (armed forces)Lance-corporalSergeant (armed forces)SoldierWeapons engineer (armed forces),"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","receives and responds to commands from senior officers;monitors, operates, services and repairs military equipmenttakes part in military operations in situations of conflict and provides aid if required in emergency situations such as civil disorder, natural disasters and major accidents;engages in peacekeeping operations and enforces ceasefire agreements;stands watch and guards military establishments and other buildingstrains and exercises using various military equipment and tactics;undertakes specialist activities such as operating communications equipment, driving military vehicles;patrols areas of possible military activity;leads and trains new recruits and lower ranks, looks after their discipline and welfare",Minor Group 331: PROTECTIVE SERVICE OCCUPATIONSSub-Major Group 33: PROTECTIVE SERVICE OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,3311, NCOs AND OTHER RANKS
